edgeID,group1,group2,group3,group0,group4,group5,population,nullGroup
11866,1,2,1,0,0,1,3,4
11872,1,0,0,0,0,0,0,2
11873,0,0,0,0,0,0,1,0
11874,1,0,1,0,0,0,2,3
11876,2,5,2,0,1,1,13,3
11877,0,0,1,0,0,0,2,3
11880,0,0,0,0,0,0,1,0
11898,1,1,1,0,0,0,1,2
11914,2,2,0,0,0,0,2,2
11959,6,0,0,0,0,0,1,0
11963,7,3,4,1,1,0,9,7
11984,0,1,0,0,0,0,3,0
12041,6,2,10,4,1,4,15,26
12043,6,4,2,2,1,4,12,9
12047,2,5,2,1,0,0,3,9
12060,1,4,1,1,0,0,1,7
12061,9,6,6,2,0,3,0,18
12062,8,2,5,1,0,4,2,12
12089,2,1,1,0,0,0,2,6
12090,4,4,2,1,0,0,4,14
12094,11,10,9,5,1,2,7,41
12109,2,3,0,0,0,0,0,9
12111,2,0,0,0,0,0,2,1
12116,1,0,0,0,0,0,0,1
12119,4,4,0,0,0,0,2,12
12127,2,1,1,0,0,0,1,3
12128,2,0,1,1,0,0,3,3
12137,1,0,1,0,0,1,1,2
12138,8,7,9,2,0,1,29,15
12147,3,2,2,0,0,1,3,10
12153,2,3,2,0,0,1,4,10
12186,3,3,2,0,0,0,1,2
12187,0,1,2,0,0,0,1,1
12190,0,2,2,0,0,0,0,2
12192,0,2,2,0,0,0,0,2
12193,0,0,0,0,0,0,0,0
12227,2,3,0,0,0,0,1,6
12232,2,3,1,0,0,0,2,8
12238,3,2,0,1,0,0,4,7
12255,5,2,2,0,0,2,3,8
12256,9,6,2,0,0,2,5,20
12274,13,14,26,12,11,11,67,91
12300,2,0,2,1,2,2,7,9
12301,0,0,0,0,0,0,1,0
12307,0,0,0,0,0,0,0,0
12309,0,0,0,0,0,0,2,0
12312,0,0,0,0,0,0,1,0
12314,0,0,0,0,0,0,1,0
12340,0,0,0,0,0,0,2,0
12341,0,0,3,0,1,1,4,9
12342,0,0,8,7,6,2,24,19
12343,1,0,16,7,7,4,35,35
12344,1,1,4,0,0,1,8,5
12349,1,1,0,0,0,0,2,0
12350,0,0,0,0,0,1,0,1
12352,0,1,2,2,0,0,0,9
12353,0,1,3,3,1,0,5,8
12354,0,0,1,2,1,0,6,0
12393,9,6,4,4,2,1,23,33
12417,14,8,9,4,6,6,8,47
12458,10,6,6,1,0,3,1,16
12474,10,4,7,5,4,1,0,10
12512,3,4,6,1,2,0,10,5
12516,1,1,0,1,0,0,1,1
12534,2,4,5,1,4,1,17,6
12545,1,0,4,3,0,0,2,8
12558,0,1,0,0,1,0,2,0
12559,1,3,2,2,0,0,9,11
12562,1,2,2,2,0,0,10,1
12575,0,1,0,0,0,0,2,0
12578,0,0,0,0,0,0,0,0
12579,1,1,1,0,0,0,2,3
12584,1,0,0,0,0,1,0,1
12617,2,0,0,0,0,0,2,3
12622,26,21,23,8,10,14,49,105
12625,2,5,3,3,0,0,3,9
12626,1,3,1,1,0,1,3,9
12628,1,3,4,4,0,1,1,13
12634,4,2,2,1,0,2,5,11
12645,3,4,7,0,4,0,10,5
12646,2,2,5,5,1,3,3,24
12648,2,2,5,3,1,2,3,14
12649,2,2,1,0,1,1,5,0
12650,0,1,4,4,0,1,2,16
12651,0,1,0,0,0,0,0,0
12652,2,1,0,0,1,0,2,4
12653,9,4,1,1,0,0,4,13
12654,9,4,1,1,0,0,5,10
12655,1,1,2,0,0,0,4,2
12656,0,0,0,0,0,0,0,0
12657,1,0,1,0,0,0,2,0
12658,5,4,1,0,0,0,3,7
12659,3,1,1,0,0,0,1,3
12660,2,1,0,0,0,0,2,2
12664,1,0,0,0,0,0,2,1
12665,0,0,0,0,0,0,0,0
12666,3,1,1,0,0,0,6,1
12667,3,1,1,0,0,0,7,0
12668,0,0,0,0,0,1,0,2
12670,0,3,1,0,0,1,3,8
12671,0,1,0,0,0,0,1,0
12672,1,4,1,0,0,5,6,15
12673,1,4,1,0,0,5,5,15
12674,1,3,0,0,0,0,3,3
12675,1,0,0,0,0,0,1,2
12677,2,2,3,1,0,0,7,5
12678,1,1,2,0,0,0,4,2
12680,1,4,1,0,0,2,4,11
12682,1,0,1,0,0,0,1,0
12683,0,0,1,0,0,0,2,1
12685,1,1,0,1,1,1,8,2
12687,1,1,1,1,1,0,5,3
12688,0,0,0,0,0,1,2,2
12689,0,1,2,0,0,1,2,4
12691,1,4,3,0,0,2,1,12
12692,1,5,2,0,0,3,1,15
12695,0,1,0,0,0,0,0,4
12696,2,1,0,0,0,1,1,3
12698,18,8,6,1,2,2,35,15
12699,5,3,1,0,0,0,6,14
12704,1,3,3,0,0,1,0,12
12706,1,0,0,0,0,2,5,8
12708,8,10,0,1,2,1,24,10
12712,2,1,0,0,0,0,0,2
12713,2,1,1,0,0,0,2,5
12714,1,1,0,0,0,0,3,2
12716,10,10,1,1,2,1,23,9
12719,0,3,2,0,0,1,0,8
12721,1,0,0,0,1,0,5,4
12722,1,0,1,0,1,0,2,3
12723,10,16,2,1,1,2,31,19
12724,13,16,2,2,1,3,35,24
12725,3,0,0,0,0,1,5,3
12736,0,1,1,0,0,0,4,4
12747,0,1,0,0,0,0,0,3
12753,4,3,1,0,0,0,0,10
12756,2,2,1,0,0,0,1,10
12761,1,1,0,1,0,0,2,1
12762,4,0,0,0,0,1,2,2
12765,5,2,1,0,0,0,2,11
12772,0,0,0,0,0,1,3,1
12786,1,2,1,0,0,0,0,4
12794,0,0,0,0,0,0,2,1
12795,0,0,1,0,0,0,0,1
12797,1,1,0,0,0,0,1,2
12800,1,0,0,0,0,0,0,0
12821,1,0,0,0,0,0,1,0
12835,5,1,4,1,0,1,5,12
12846,0,0,0,2,0,1,0,10
12849,4,2,4,3,1,2,6,29
12851,6,2,5,6,1,2,6,36
12852,2,2,1,2,0,0,1,8
12854,3,1,1,2,1,1,3,17
12855,0,1,1,0,1,0,4,4
12891,8,2,3,3,2,0,9,7
12923,3,2,5,2,0,0,1,6
12941,9,1,5,0,1,0,17,10
12973,7,5,11,4,2,1,9,27
12985,3,4,8,3,3,4,3,10
13082,3,2,1,2,1,1,1,8
