edgeID,group0,group1,group2
3799,3,2,0
3801,0,2,1
3809,1,4,2
3830,11,14,9
3835,7,9,2
3842,6,3,3
3851,8,3,9
3852,12,4,10
3881,3,2,1
3885,2,2,1
3893,10,5,3
3895,15,5,7
3902,3,1,1
3905,15,4,7
3913,3,2,3
3915,3,1,1
3921,7,2,1
3923,0,2,2
3924,0,1,0
3927,9,9,4
3929,11,4,5
3937,0,0,1
3938,0,0,0
3939,0,0,0
3940,2,3,3
3947,9,4,1
3949,1,1,1
3950,0,1,0
3958,4,5,2
3966,0,0,1
3969,2,3,2
3978,6,3,2
3988,3,1,1
3990,5,2,1
3991,3,4,0
3992,2,1,0
3993,2,1,0
3995,3,1,0
3997,4,7,2
3998,6,8,2
4003,14,14,3
4009,1,0,1
4010,2,2,5
4011,2,2,6
4072,9,7,3
4073,7,5,4
4074,5,2,1
4075,6,3,5
4076,0,0,0
4082,7,6,1
4084,1,3,0
4086,3,3,0
4089,2,5,1
4093,5,2,1
4095,8,2,6
4165,0,0,1
4176,2,5,1
4179,8,6,1
4181,13,12,11
4182,1,0,0
4187,1,3,1
4193,1,0,0
4210,9,3,2
4216,12,12,6
4218,1,2,1
4223,13,14,7
4241,6,3,4
4242,5,3,1
4243,1,2,5
4248,8,7,4
4251,1,1,0
4253,5,2,2
4265,1,2,1
4271,0,0,0
4283,0,0,1
4284,1,0,2
4285,1,1,2
4288,3,6,3
4289,5,5,4
4290,1,6,2
4291,9,12,8
4292,9,8,6
4293,3,2,1
4299,2,0,3
4300,1,0,3
4306,2,13,6
4307,6,3,1
4308,3,2,0
4310,3,3,1
4327,13,11,6
4330,10,9,2
4333,1,1,4
4334,0,0,0
4335,1,0,4
4337,29,25,9
4342,11,4,5
4343,3,7,5
4344,2,5,3
4345,0,2,2
4346,0,1,3
4347,0,0,1
4351,1,3,0
4363,1,6,0
4364,3,0,0
4365,0,6,0
4366,2,0,0
4369,0,1,0
4374,6,9,2
4376,5,9,4
4377,11,12,4
4378,1,2,1
4379,3,5,2
4389,1,7,1
4390,5,4,3
4393,10,3,7
4395,0,0,0
4399,7,3,6
4402,4,3,1
4405,8,8,3
4409,2,1,1
4412,1,2,0
4414,1,0,0
4415,0,1,0
4416,0,0,0
4417,0,0,0
4418,0,1,0
4425,0,0,0
4438,3,5,2
4469,8,10,5
4488,11,4,11
4492,6,13,4
4493,1,2,3
4494,2,2,4
4495,1,1,1
4499,4,2,0
4504,1,2,1
4527,0,0,0
4530,1,0,0
4531,0,1,0
4532,0,2,0
4533,0,0,0
4549,1,2,1
4554,8,2,1
4570,0,0,0
4576,0,0,1
4578,2,2,0
4580,0,0,0
4592,9,6,3
4594,11,9,6
4596,1,0,0
4597,0,0,0
4598,0,0,0
4605,5,3,2
4606,7,3,3
4607,2,2,3
4613,5,2,5
4616,1,3,4
4638,2,0,0
4639,9,7,9
4640,11,6,9
4645,3,6,2
4647,6,1,2
4660,1,2,0
4664,0,0,0
4669,1,1,3
4678,5,1,1
4690,3,1,3
4691,6,3,8
4727,11,1,7
4731,1,9,1
4733,0,5,1
4739,8,5,2
4740,10,8,8
4741,2,10,7
4743,9,6,2
4745,0,1,1
4746,6,6,2
4747,10,10,4
4748,14,8,5
4753,5,2,1
4755,5,3,2
4757,2,0,3
4760,9,1,2
4764,11,1,5
4772,4,4,1
4778,17,16,7
4781,5,2,1
4783,4,6,3
4791,1,6,1
4801,3,3,0
4816,3,1,5
4817,2,2,3
4825,5,3,1
4827,4,1,6
4832,1,3,0
4834,6,11,4
4837,5,7,3
4846,6,7,5
4847,3,1,0
4861,2,5,1
4869,0,1,3
4870,4,4,3
4871,4,3,4
4872,2,0,1
4877,0,0,0
4879,4,3,0
4882,0,4,0
4886,3,3,2
4891,1,2,0
4917,1,3,2
4919,4,4,6
4921,0,1,0
4929,1,1,0
4932,2,1,3
4933,2,1,3
4934,0,1,0
4939,2,2,2
4940,2,1,2
4941,0,1,0
4942,3,0,2
4945,10,5,3
4951,3,2,8
4954,1,1,0
4955,0,2,1
4956,1,2,0
4957,0,3,0
4960,2,2,1
4965,1,1,1
4974,1,2,0
4975,2,2,1
4976,1,3,1
4977,0,0,0
4978,1,3,2
4979,1,2,2
4983,6,2,8
4984,0,1,0
4985,1,2,1
4987,2,2,0
4993,15,10,7
5014,3,4,5
5015,10,7,3
5031,3,1,2
5033,2,2,2
5034,0,4,2
5054,0,3,1
5056,2,2,3
5062,1,5,7
5070,1,3,1
5080,0,4,5
5081,0,2,0
5082,0,4,5
5093,0,1,2
5094,3,2,2
5111,4,5,2
5112,18,7,2
5121,4,5,3
5127,8,10,3
5152,1,1,0
5162,0,1,3
5164,5,2,4
5165,0,0,0
5169,24,20,3
5170,7,5,3
5171,0,0,0
5172,0,0,0
5173,0,0,0
5181,0,0,0
5182,0,0,0
5186,2,5,0
5202,0,4,1
5203,0,3,1
5204,0,2,0
5205,0,0,0
5206,0,0,0
5215,0,1,1
5222,3,2,3
5228,0,6,1
5229,4,6,6
5230,5,4,8
5232,1,5,1
5237,0,2,2
5240,2,3,5
5256,8,4,10
5264,4,2,3
5265,4,2,2
5266,0,2,1
5270,0,1,0
5271,2,1,4
5274,2,3,2
5284,2,1,2
5287,4,8,2
5296,10,7,4
5301,0,3,1
5304,0,1,1
5306,5,3,6
5310,6,3,4
5312,3,3,1
5313,0,4,1
5314,3,1,2
5320,3,1,0
5321,6,4,1
5322,3,3,1
5329,2,3,3
5336,5,5,3
5341,2,3,2
5343,2,2,0
5362,0,0,0
5364,1,0,2
5366,1,0,1
5368,0,0,1
5370,0,0,1
5372,3,11,2
5374,2,4,2
5398,3,1,1
5403,5,8,3
5419,2,3,2
5420,1,4,1
5421,1,3,1
5441,3,10,4
5445,0,5,3
5449,3,3,4
5452,8,4,7
5454,2,1,0
5464,6,7,3
5473,4,1,3
5493,10,9,4
5498,1,4,1
5499,7,4,3
5502,4,9,4
5525,0,0,0
5528,3,1,3
5541,10,3,7
5542,8,1,1
5543,1,2,5
5561,2,0,0
5565,0,4,1
5586,1,1,2
5599,1,3,0
5602,5,1,0
5603,5,1,0
5604,4,2,0
5639,22,13,4
5651,0,0,0
5655,0,1,0
5671,1,0,0
5673,1,3,0
5676,2,0,1
5679,0,2,2
5683,0,1,3
5686,1,1,5
5688,3,2,2
5716,4,4,2
5723,0,0,0
5734,5,2,1
5735,6,3,3
5737,1,1,1
5743,3,8,3
5750,3,1,5
5752,20,7,4
5754,2,0,3
5759,2,1,1
5764,15,11,6
5777,0,1,0
5780,3,2,2
5781,3,3,2
5782,1,1,0
5784,1,0,0
5793,0,0,1
5794,0,1,0
5797,1,0,0
5800,2,0,0
5806,3,0,1
5811,3,3,3
5813,2,2,3
5815,3,4,1
5820,4,3,10
5826,1,5,3
5834,4,4,0
5835,5,4,0
5836,0,1,0
5837,0,0,0
5862,6,2,3
5868,1,5,1
5869,11,20,8
5870,10,23,7
5874,7,5,2
5875,2,2,2
5876,5,3,1
5879,4,2,2
5883,7,12,7
5886,1,3,3
5899,24,18,6
5917,1,0,0
5918,1,0,1
5919,0,0,0
5921,1,2,4
5928,1,1,2
5929,2,5,2
5932,0,6,3
5934,4,4,3
5951,2,1,0
5961,4,3,8
5964,7,1,5
5983,1,0,1
5984,1,0,0
5990,12,9,4
5996,2,4,4
6000,3,7,4
6010,5,4,2
6015,12,9,4
6016,2,0,0
6025,1,0,0
6026,0,1,2
6027,1,2,1
6031,3,3,0
6042,0,0,0
6046,1,1,0
6047,3,4,5
6055,18,12,7
6056,5,3,1
6081,1,2,4
6084,10,13,2
6085,12,15,3
6086,4,5,1
6087,3,7,0
6094,2,2,1
6099,0,4,0
6100,0,3,1
6101,0,6,0
6119,2,0,0
6120,2,0,1
6121,0,0,1
6131,3,1,1
6132,2,1,0
6141,2,1,2
6145,9,5,3
6146,6,4,2
6147,4,3,1
6155,1,6,2
6156,5,7,1
6188,2,0,0
6209,22,9,5
6227,3,3,1
6232,0,0,1
6237,0,2,0
6239,4,0,1
6240,14,3,8
6250,4,5,1
6263,1,1,1
6264,6,3,5
6279,7,1,0
6294,4,0,0
6297,0,0,0
6298,1,1,0
6299,1,1,0
6300,0,0,0
6301,0,0,0
6302,0,0,0
6303,2,1,0
6304,2,1,0
6325,1,0,0
6333,0,0,0
6334,3,7,4
6339,3,1,2
6340,4,2,7
6342,0,1,1
6343,0,1,1
6345,11,2,3
6347,1,2,0
6348,11,5,4
6349,8,1,2
6350,3,1,0
6352,3,1,0
6353,0,0,0
6355,7,0,0
6357,1,1,2
6364,1,5,1
6367,2,4,0
6368,0,1,0
6379,1,0,0
6381,6,6,4
6383,1,1,0
6385,8,9,4
6412,3,0,0
6417,0,1,1
6418,1,1,0
6421,10,4,3
6430,6,4,0
6431,4,4,2
6432,7,6,0
6436,2,1,0
6452,10,4,2
6488,0,0,0
6489,7,4,4
6498,11,3,9
6503,3,1,0
6504,1,2,1
6505,0,1,0
6507,0,0,0
6526,0,1,2
6527,2,1,3
6531,1,1,4
6534,3,3,2
6535,0,0,2
6553,1,2,0
6557,0,0,1
6558,1,2,0
6560,1,1,0
6561,0,0,0
6565,0,2,4
6595,2,2,0
6603,3,2,1
6625,3,9,7
6642,1,0,2
6645,0,0,1
6648,1,2,1
6670,1,1,0
6672,1,5,2
6682,2,0,0
6683,2,0,0
6701,23,7,5
6750,0,0,0
6756,4,8,6
6757,4,7,4
6766,0,1,0
6768,1,0,0
6769,0,0,0
6770,3,1,2
6772,5,4,5
6774,0,5,5
6783,0,1,0
6785,0,0,0
6794,7,13,2
6800,6,9,5
6801,5,6,2
6802,1,2,2
6810,4,4,3
6819,3,3,0
6820,0,3,1
6821,4,3,0
6823,2,0,1
6824,1,0,2
6843,9,4,6
6844,7,2,5
6845,1,4,0
6872,6,4,1
6873,2,3,4
6874,4,5,4
6881,6,6,4
6882,3,2,0
6895,2,5,3
6896,3,5,3
6897,2,0,0
6921,8,10,3
6922,1,2,0
6923,7,7,4
6932,7,7,3
6947,5,4,2
6948,1,3,1
6949,3,2,1
6959,2,1,0
6965,4,3,2
6968,3,1,1
6995,3,4,3
6997,3,2,4
7001,5,4,4
7023,0,3,0
7027,4,4,0
7034,7,5,2
7036,0,1,1
7042,0,1,0
7044,4,8,3
7055,17,11,12
7066,2,2,4
7075,0,0,0
7076,1,1,0
7082,3,3,2
7083,3,5,2
7084,3,6,4
7085,6,11,4
7086,6,4,2
7089,1,0,0
7090,1,0,0
7091,1,0,0
7097,2,11,1
7102,0,1,0
7103,13,3,7
7105,2,2,0
7107,1,10,2
7112,2,1,1
7122,18,9,12
7123,18,11,10
7124,3,5,2
7136,2,3,2
7142,7,14,0
7151,8,14,2
7152,0,0,0
7153,8,14,2
7158,37,11,12
7165,0,0,0
7167,3,5,1
7168,0,2,1
7169,2,6,2
7190,2,5,0
7198,1,2,1
7200,0,0,0
7205,2,2,1
7209,37,13,11
7211,5,5,3
7212,2,4,1
7213,3,2,1
7214,3,3,1
7215,2,3,1
7218,0,4,1
7222,1,0,0
7223,2,3,2
7229,13,10,6
7230,28,13,8
7231,3,3,2
7232,2,0,4
7233,7,9,6
7249,0,2,1
7250,0,2,1
7251,6,1,4
7252,6,2,4
7253,0,2,2
7256,2,1,2
7267,2,0,2
7272,16,4,8
7274,1,0,1
7300,1,3,3
7301,1,3,4
7307,2,4,1
7308,1,3,1
7321,3,4,4
7343,7,3,5
7345,4,4,1
7348,13,10,5
7349,1,1,1
7353,0,5,1
7357,5,5,0
7358,5,5,0
7359,0,0,0
7360,4,0,3
7361,6,1,3
7362,3,2,3
7363,1,1,1
7364,5,6,5
7365,10,6,4
7366,2,6,1
7367,9,6,1
7368,0,1,0
7369,0,1,1
7370,0,2,1
7376,5,4,0
7377,5,8,5
7378,2,2,4
7379,3,8,3
7386,12,12,10
7389,7,11,7
7392,15,12,7
7395,0,0,1
7396,3,2,0
7397,2,2,1
7399,4,7,5
7405,0,1,0
7406,0,0,1
7434,1,1,0
7437,18,7,4
7440,0,0,0
7443,6,4,2
7444,12,6,2
7449,3,4,0
7456,3,4,0
7457,16,5,9
7459,4,1,1
7461,1,1,0
7463,3,2,1
7465,1,1,4
7468,4,5,6
7469,7,1,1
7470,9,2,3
7471,2,1,2
7472,4,4,6
7473,1,7,0
7476,4,4,2
7513,3,1,0
7522,2,3,3
7523,2,2,3
7540,2,0,3
7547,10,5,3
7548,7,4,8
7550,0,0,0
7551,1,1,0
7552,1,1,0
7577,6,3,1
7578,8,1,2
7579,0,1,1
7580,2,1,0
7594,12,12,5
7600,1,1,1
7601,1,5,1
7604,2,4,2
7621,4,10,4
7622,8,7,2
7628,1,2,0
7640,2,7,0
7641,5,8,2
7649,1,1,0
7654,6,2,2
7671,8,9,3
7674,1,1,0
7704,1,1,0
7708,0,3,5
7709,1,2,5
7742,0,1,0
7744,3,3,1
