,onlyDistance,onlyAngular,distanceHeuristic,angularHeuristic,regions,routeMarks,barriers,distantLandmarks,usingElements,noElements,length,combined_length,minimisation_length,preferenceNatural,aversionSevering,knowledge
654,0.383,0.617,0.555,0.445,0.27,0.644,0.356,0.155,0.743,0.257,4690.10520649147,4108.710483734373,1362.8529919473772,0.5,0.25,4.0
669,0.296,0.704,0.634,0.366,0.326,0.522,0.478,0.398,0.667,0.333,4330.617240445832,4330.617240445832,2633.6225539664974,0.0,0.0,4.75
670,0.45,0.55,0.467,0.533,0.375,0.261,0.473,0.872,0.506,0.494,4027.3061453126084,3709.7787642113863,3664.135772663538,0.375,0.75,4.0
672,0.246,0.754,0.511,0.489,0.245,0.577,0.362,0.65,0.584,0.416,4808.627844402074,4327.9862115202695,3252.678954083419,0.5,0.5,4.0
676,0.579,0.421,0.518,0.482,0.616,0.729,0.122,0.176,0.59,0.41,4804.154102347741,3989.504299613614,2852.071305480311,0.5,0.25,4.0
686,0.673,0.327,0.555,0.445,0.353,0.319,0.465,0.585,0.614,0.386,4684.010246127155,4039.702368505703,2389.0690113441174,0.75,0.75,4.25
701,0.785,0.215,0.528,0.472,0.486,0.512,0.272,0.58,0.616,0.384,4929.042052240963,4160.1246245449165,2657.459295249365,0.875,0.5,4.0
708,0.52,0.48,0.533,0.467,0.232,0.246,0.538,0.755,0.609,0.391,4140.760148772568,3680.9454993050294,2317.1851593957945,0.875,0.25,3.75
712,0.231,0.769,0.433,0.567,0.125,0.548,0.37,0.498,0.611,0.389,4497.975183280725,3916.580460523628,2418.3187837859973,0.25,1.0,4.0
713,0.418,0.582,0.624,0.376,0.509,0.363,0.488,0.418,0.686,0.314,4307.528038130215,3537.065791691043,1673.1526403521523,0.625,0.25,3.5
718,0.802,0.198,0.521,0.479,0.61,0.447,0.291,0.708,0.537,0.463,3890.27480306078,3753.686431836147,3128.9214566615,0.75,1.0,4.75
748,0.737,0.263,0.492,0.508,0.402,0.438,0.269,0.609,0.671,0.329,4909.193969683617,4512.272644966939,1995.5609605515215,0.5,0.25,2.5
749,0.72,0.28,0.479,0.521,0.451,0.32,0.387,0.667,0.528,0.472,3744.7189972665465,2979.7777715686498,2527.3577715686497,0.375,0.75,3.25
753,0.365,0.635,0.584,0.416,0.471,0.467,0.378,0.2,0.717,0.283,4518.814141139541,4518.814141139541,2261.782164315217,0.125,0.25,3.75
757,0.52,0.48,0.477,0.523,0.222,0.297,0.426,0.918,0.634,0.366,4843.608033863656,3966.0450762651735,2317.1851593957945,0.25,0.0,4.5
782,0.569,0.431,0.558,0.442,0.384,0.26,0.524,0.726,0.593,0.407,4117.4430498889315,4054.529895024576,2811.9022145478693,0.375,0.25,3.0
786,0.895,0.105,0.587,0.413,0.567,0.498,0.191,0.495,0.545,0.455,4533.811855736381,3285.3976226276736,2587.9350483332832,0.375,0.25,3.0
790,0.558,0.442,0.528,0.472,0.495,0.593,0.216,0.321,0.621,0.379,5030.361402160244,3260.7561248330317,1916.6791146152652,0.375,0.25,3.5
796,0.55,0.45,0.566,0.434,0.279,0.632,0.368,0.185,0.696,0.304,5390.349248220964,3821.983212042539,1535.496695978763,0.5,0.75,1.75
801,0.525,0.475,0.572,0.428,0.461,0.56,0.368,0.487,0.611,0.389,4693.746833853638,4693.746833853638,3087.2593811548113,0.625,0.75,4.0
824,0.696,0.304,0.612,0.388,0.516,0.294,0.49,0.543,0.695,0.305,3770.7254310371172,3770.7056009236226,1621.2909144442874,0.5,0.25,4.0
828,0.272,0.728,0.394,0.606,0.471,0.351,0.46,0.693,0.566,0.434,3749.3586665457738,3312.845988244185,2606.5493736980975,0.375,0.5,3.75
840,0.483,0.517,0.605,0.395,0.437,0.329,0.409,0.477,0.736,0.264,4585.792789655345,3670.4484987606647,1343.865524550623,0.75,0.5,5.0
848,0.618,0.382,0.622,0.378,0.449,0.253,0.531,0.624,0.695,0.305,4342.280331023779,4342.260500910284,2192.845814430948,0.375,0.25,4.5
856,0.608,0.392,0.506,0.494,0.482,0.152,0.477,0.61,0.646,0.354,4714.65237843699,4651.739223572635,2562.201235498589,0.25,0.5,4.0
870,0.585,0.415,0.606,0.394,0.306,0.247,0.537,0.824,0.613,0.387,4094.250384482123,4094.230554368628,2625.234943074322,0.5,0.75,4.75
871,0.624,0.376,0.562,0.438,0.516,0.155,0.475,0.513,0.745,0.255,4479.9729382881005,4479.953108174605,1770.5011313502819,0.125,0.5,5.0
872,0.654,0.346,0.556,0.444,0.451,0.192,0.437,0.626,0.664,0.336,4282.447285175831,4282.427455062336,2253.3945534230415,0.5,0.5,3.5
888,0.722,0.278,0.496,0.504,0.62,0.328,0.307,0.667,0.604,0.396,4640.987213753893,4223.219075509454,2754.498740808679,0.625,0.75,4.5
892,0.856,0.144,0.5,0.5,0.624,0.391,0.256,0.549,0.612,0.388,4707.195276411585,3989.2121824298556,2395.259865649129,0.375,0.5,4.75
894,0.5,0.5,0.637,0.363,0.398,0.622,0.301,0.044,0.707,0.293,4902.198838235131,3505.4288971177466,1248.921124626566,0.75,1.0,4.5
903,0.27,0.73,0.62,0.38,0.176,0.595,0.405,0.345,0.713,0.287,4645.028873613748,4063.634150856651,2038.1456467313594,0.5,1.0,4.5
905,0.462,0.538,0.518,0.482,0.483,0.678,0.209,0.354,0.627,0.373,4903.679718836558,4374.141452758076,2871.3898730937804,0.5,0.75,3.0
909,0.73,0.27,0.653,0.347,0.516,0.273,0.456,0.475,0.695,0.305,4364.5638694107665,3784.115871866783,1634.7011853874478,0.375,0.5,4.75
913,0.696,0.304,0.479,0.521,0.369,0.423,0.267,0.593,0.677,0.323,4949.2818442873895,3954.0924617225915,1784.6319328937075,0.75,0.75,4.0
928,0.791,0.209,0.45,0.55,0.753,0.225,0.268,0.574,0.643,0.357,4737.83740872142,4601.249037496787,2568.392089803601,0.375,1.0,5.0
930,0.719,0.281,0.605,0.395,0.323,0.359,0.425,0.601,0.632,0.368,4251.805152865995,3670.3905999954036,2080.26232926857,0.25,0.0,5.0
